         472639 function calls (450277 primitive calls) in 1.746 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  260/103    0.003    0.000    0.042    0.000 _parser.py:456(_parse_sub)
  354/112    0.016    0.000    0.041    0.000 _parser.py:516(_parse)
        1    0.000    0.000    0.041    0.041 named_commands.py:1(<module>)
       18    0.001    0.000    0.039    0.002 _scatter3d.py:2215(__init__)
      701    0.004    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1424(_path_importer_cache)
       89    0.007    0.000    0.036    0.000 traitlets.py:972(setup_class)
      384    0.003    0.000    0.036    0.000 basedatatypes.py:5179(_set_prop)
        1    0.000    0.000    0.035    0.035 document.py:1(<module>)
        2    0.000    0.000    0.034    0.017 parser.py:1(<module>)
       69    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1411(_path_hooks)
        1    0.000    0.000    0.034    0.034 typeshed.py:1(<module>)
        1    0.000    0.000    0.032    0.032 stub_value.py:1(<module>)
     1013    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap>:392(cached)
      507    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
       12    0.000    0.000    0.030    0.002 utils.py:1(<module>)
       40    0.000    0.000    0.030    0.001 gettext.py:616(gettext)
       40    0.000    0.000    0.029    0.001 gettext.py:578(dgettext)
       40    0.000    0.000    0.029    0.001 gettext.py:519(translation)
       40    0.001    0.000    0.029    0.001 gettext.py:479(find)
  6371/62    0.015    0.000    0.028    0.000 copy.py:128(deepcopy)
        3    0.000    0.000    0.028    0.009 history.py:1(<module>)
       22    0.000    0.000    0.028    0.001 basevalidators.py:2507(validate_coerce)
       11    0.000    0.000    0.027    0.002 argparse.py:2574(format_help)
   514/80    0.003    0.000    0.027    0.000 copy.py:227(_deepcopy_dict)
        1    0.000    0.000    0.027    0.027 containers.py:1(<module>)
       20    0.000    0.000    0.026    0.001 _figure.py:842(add_trace)
        1    0.000    0.000    0.026    0.026 value.py:1(<module>)
       20    0.000    0.000    0.026    0.001 basedatatypes.py:2007(add_trace)
       20    0.000    0.000    0.026    0.001 _figure.py:921(add_traces)
       20    0.000    0.000    0.026    0.001 basedatatypes.py:2114(add_traces)
        1    0.000    0.000    0.025    0.025 grammar.py:1(<module>)
        4    0.000    0.000    0.025    0.006 display.py:1(<module>)
       11    0.000    0.000    0.025    0.002 argparse.py:286(format_help)
  258/246    0.001    0.000    0.025    0.000 basedatatypes.py:5872(__getitem__)
    33/11    0.000    0.000    0.025    0.002 argparse.py:212(format_help)
