         472639 function calls (450277 primitive calls) in 1.746 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 topics.py:1(<module>)
       15    0.000    0.000    0.000    0.000 inspect.py:1943(_signature_get_user_defined_method)
     25/7    0.000    0.000    0.000    0.000 html.py:54(process_node)
       91    0.000    0.000    0.000    0.000 magic.py:182(magic_deco)
       36    0.000    0.000    0.000    0.000 basevalidators.py:217(is_array)
        1    0.000    0.000    0.000    0.000 formatters.py:148(Bar)
        1    0.000    0.000    0.000    0.000 profiledir.py:29(ProfileDir)
       14    0.000    0.000    0.000    0.000 main.py:47(formatNumbers)
        1    0.000    0.000    0.000    0.000 embed.py:119(InteractiveShellEmbed)
       20    0.000    0.000    0.000    0.000 basevalidators.py:1073(validate_coerce)
        1    0.000    0.000    0.000    0.000 token.py:18(PythonTokenTypes)
        1    0.000    0.000    0.000    0.000 _scatter3d.py:5(Scatter3d)
        3    0.000    0.000    0.000    0.000 magic.py:206(_function_magic_marker)
      844    0.000    0.000    0.000    0.000 basedatatypes.py:4393(plotly_name)
       14    0.000    0.000    0.000    0.000 expatbuilder.py:155(getParser)
      294    0.000    0.000    0.000    0.000 typing.py:916(__eq__)
        1    0.000    0.000    0.000    0.000 layout.py:1(<module>)
       30    0.000    0.000    0.000    0.000 inspect.py:391(_has_code_flag)
       19    0.000    0.000    0.000    0.000 decorator.py:145(update)
    71/42    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       17    0.000    0.000    0.000    0.000 argparse.py:929(__init__)
      100    0.000    0.000    0.000    0.000 formatters.py:357(_hue_to_rgb)
       11    0.000    0.000    0.000    0.000 argparse.py:686(_fill_text)
       35    0.000    0.000    0.000    0.000 textwrap.py:143(_munge_whitespace)
        1    0.000    0.000    0.000    0.000 validation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 normalizer.py:13(Normalizer)
        1    0.000    0.000    0.000    0.000 pep8.py:1(<module>)
        3    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
      794    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      208    0.000    0.000    0.000    0.000 typing.py:1687(__eq__)
        2    0.000    0.000    0.000    0.000 main.py:471(gravityCenter)
       27    0.000    0.000    0.000    0.000 argparse.py:1565(_get_optional_kwargs)
      103    0.000    0.000    0.000    0.000 _parser.py:963(fix_flags)
       72    0.000    0.000    0.000    0.000 argparse.py:645(_iter_indented_subactions)
        1    0.000    0.000    0.000    0.000 __init__.py:81(<listcomp>)
        5    0.000    0.000    0.000    0.000 __init__.py:2074(getLogger)
       45    0.000    0.000    0.000    0.000 enum.py:772(__getattr__)
        1    0.000    0.000    0.000    0.000 tree.py:822(ImportFrom)
      552    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1568(<genexpr>)
        1    0.000    0.000    0.000    0.000 inputhook.py:1(<module>)
       29    0.000    0.000    0.000    0.000 cache.py:60(decorator)
      898    0.000    0.000    0.000    0.000 basevalidators.py:2526(present)
        2    0.000    0.000    0.000    0.000 dummy.py:1(<module>)
      160    0.000    0.000    0.000    0.000 utils.py:412(__call__)
      506    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
        1    0.000    0.000    0.000    0.000 auto_suggest.py:56(NavigableAutoSuggestFromHistory)
        1    0.000    0.000    0.000    0.000 _figure.py:4(Figure)
        1    0.000    0.000    0.000    0.000 interpreter.py:1(<module>)
      842    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 core.py:469(RepeatedFrames)
        2    0.000    0.000    0.000    0.000 generics.py:1(<module>)
       19    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.000    0.000 flow_analysis.py:8(Status)
      391    0.000    0.000    0.000    0.000 traitlets.py:445(class_init)
        1    0.000    0.000    0.000    0.000 names.py:28(AbstractNameDefinition)
        2    0.000    0.000    0.000    0.000 _yaxis.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
       98    0.000    0.000    0.000    0.000 argparse.py:294(<listcomp>)
        2    0.000    0.000    0.000    0.000 basedatatypes.py:5725(__init__)
      140    0.000    0.000    0.000    0.000 basedatatypes.py:4373(_process_kwargs)
      509    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
        2    0.000    0.000    0.000    0.000 _xaxis.py:1(<module>)
        6    0.000    0.000    0.000    0.000 pathlib.py:484(_parse_args)
        1    0.000    0.000    0.000    0.000 pytest.py:1(<module>)
        1    0.000    0.000    0.000    0.000 style.py:30(<dictcomp>)
        1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 traitlets.py:269(link)
        1    0.000    0.000    0.000    0.000 ansi_escape_sequences.py:329(_get_reverse_ansi_sequences)
      129    0.000    0.000    0.000    0.000 typing_extensions.py:2916(_check_generic)
       82    0.000    0.000    0.000    0.000 basedatatypes.py:703(__setattr__)
        1    0.000    0.000    0.000    0.000 color_depth.py:11(ColorDepth)
      160    0.000    0.000    0.000    0.000 utils.py:408(_Chomper)
        1    0.000    0.000    0.000    0.000 util.py:172(<setcomp>)
       36    0.000    0.000    0.000    0.000 argparse.py:844(__init__)
        1    0.000    0.000    0.000    0.000 util.py:170(<setcomp>)
        1    0.000    0.000    0.000    0.000 formatters.py:216(Progress)
       16    0.000    0.000    0.000    0.000 model.py:56(__repr__)
        5    0.000    0.000    0.000    0.000 __init__.py:1327(getLogger)
       10    0.000    0.000    0.000    0.000 inspect.py:1804(getattr_static)
        3    0.000    0.000    0.000    0.000 _template.py:262(__init__)
      373    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 dimension.py:1(<module>)
       72    0.000    0.000    0.000    0.000 main.py:767(<genexpr>)
        1    0.000    0.000    0.000    0.000 pdb.py:214(Pdb)
      160    0.000    0.000    0.000    0.000 basedatatypes.py:106(<lambda>)
     13/9    0.000    0.000    0.000    0.000 typing.py:1530(__repr__)
        1    0.000    0.000    0.000    0.000 oinspect.py:95(<setcomp>)
        1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        1    0.000    0.000    0.000    0.000 thread.py:1(<module>)
        1    0.000    0.000    0.000    0.000 console.py:1(<module>)
        1    0.000    0.000    0.000    0.000 guarded_eval.py:662(<listcomp>)
        1    0.000    0.000    0.000    0.000 signature.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pathlib.py:868(__new__)
       69    0.000    0.000    0.000    0.000 base.py:249(__init__)
        4    0.000    0.000    0.000    0.000 inspect.py:844(getdoc)
       15    0.000    0.000    0.000    0.000 inspect.py:402(isgeneratorfunction)
       61    0.000    0.000    0.000    0.000 traitlets.py:1238(__call__)
       65    0.000    0.000    0.000    0.000 base.py:89(_remove_duplicates)
        5    0.000    0.000    0.000    0.000 inspect.py:2037(_signature_bound_method)
      160    0.000    0.000    0.000    0.000 basedatatypes.py:84(_make_underscore_key)
        1    0.000    0.000    0.000    0.000 display.py:17(Audio)
        1    0.000    0.000    0.000    0.000 type_var.py:1(<module>)
        1    0.000    0.000    0.000    0.000 analysis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pydoc.py:480(Doc)
        1    0.000    0.000    0.000    0.000 grammar_parser.py:37(GrammarParser)
    26/17    0.000    0.000    0.000    0.000 typing.py:230(_type_repr)
        1    0.000    0.000    0.000    0.000 __init__.py:51(Script)
        1    0.000    0.000    0.000    0.000 cmd.py:1(<module>)
       28    0.000    0.000    0.000    0.000 dataclasses.py:827(_set_new_attribute)
        3    0.000    0.000    0.000    0.000 pathlib.py:504(_from_parts)
        9    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 emacs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tree.py:25(NodeOrLeaf)
        1    0.000    0.000    0.000    0.000 oinspect.py:400(Inspector)
        1    0.000    0.000    0.000    0.000 formatters.py:276(TimeLeft)
        4    0.000    0.000    0.000    0.000 inspect.py:863(cleandoc)
      160    0.000    0.000    0.000    0.000 utils.py:16(_reducer)
        1    0.000    0.000    0.000    0.000 formatters.py:35(DisplayFormatter)
        1    0.000    0.000    0.000    0.000 ipapp.py:180(TerminalIPythonApp)
        7    0.000    0.000    0.000    0.000 expatbuilder.py:719(createParser)
      506    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
        1    0.000    0.000    0.000    0.000 completer.py:1230(_DictKeyState)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
       37    0.000    0.000    0.000    0.000 traitlets.py:1080(observe)
       26    0.000    0.000    0.000    0.000 inspect.py:167(get_annotations)
     13/9    0.000    0.000    0.000    0.000 typing.py:1536(<listcomp>)
       19    0.000    0.000    0.000    0.000 traitlets.py:2615(__init__)
        6    0.000    0.000    0.000    0.000 shellapp.py:39(<lambda>)
      103    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        5    0.000    0.000    0.000    0.000 enum.py:1514(__or__)
       14    0.000    0.000    0.000    0.000 expatbuilder.py:809(reset)
        8    0.000    0.000    0.000    0.000 __init__.py:18(decorator)
       63    0.000    0.000    0.000    0.000 base.py:102(__init__)
        1    0.000    0.000    0.000    0.000 formatters.py:251(TimeElapsed)
       11    0.000    0.000    0.000    0.000 application.py:1086(boolean_flag)
        1    0.000    0.000    0.000    0.000 traitlets.py:348(directional_link)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        2    0.000    0.000    0.000    0.000 coloransi.py:48(make_color_table)
    37/35    0.000    0.000    0.000    0.000 traitlets.py:3500(class_init)
        1    0.000    0.000    0.000    0.000 serializing.py:23(Serializer)
      324    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        6    0.000    0.000    0.000    0.000 pathlib.py:56(parse_parts)
       97    0.000    0.000    0.000    0.000 traitlets.py:189(is_trait)
        1    0.000    0.000    0.000    0.000 capture.py:1(<module>)
        1    0.000    0.000    0.000    0.000 screen.py:1(<module>)
        1    0.000    0.000    0.000    0.000 formatters.py:308(IterationsPerSecond)
       40    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       41    0.000    0.000    0.000    0.000 cache.py:23(func)
        8    0.000    0.000    0.000    0.000 application.py:106(catch_config_error)
       87    0.000    0.000    0.000    0.000 argparse.py:597(format)
        1    0.000    0.000    0.000    0.000 sysconfig.py:621(get_path)
        7    0.000    0.000    0.000    0.000 dataclasses.py:228(_recursive_repr)
        1    0.000    0.000    0.000    0.000 tokenize.py:43(TokenCollection)
      448    0.000    0.000    0.000    0.000 traitlets.py:1245(__get__)
       20    0.000    0.000    0.000    0.000 basevalidators.py:2674(get_trace_class)
        1    0.000    0.000    0.000    0.000 sysconfig.py:609(get_paths)
        1    0.000    0.000    0.000    0.000 guarded_eval.py:314(EvaluationContext)
        7    0.000    0.000    0.000    0.000 {built-in method pyexpat.ParserCreate}
        1    0.000    0.000    0.000    0.000 ptutils.py:1(<module>)
       18    0.000    0.000    0.000    0.000 expatbuilder.py:736(start_element_handler)
        1    0.000    0.000    0.000    0.000 current.py:1(<module>)
        1    0.000    0.000    0.000    0.000 module.py:58(ModuleMixin)
      179    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
      160    0.000    0.000    0.000    0.000 basedatatypes.py:115(<lambda>)
       64    0.000    0.000    0.000    0.000 traitlets.py:4038(subclass_init)
       36    0.000    0.000    0.000    0.000 argparse.py:1599(_pop_action_class)
        1    0.000    0.000    0.000    0.000 compilerop.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:261(_expand_vars)
      160    0.000    0.000    0.000    0.000 basedatatypes.py:75(_make_hyphen_key)
        1    0.000    0.000    0.000    0.000 cursor_shapes.py:23(CursorShape)
      144    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 classes.py:60(BaseName)
       11    0.000    0.000    0.000    0.000 loader.py:354(__getattr__)
        1    0.000    0.000    0.000    0.000 typing.py:506(__getitem__)
       22    0.000    0.000    0.000    0.000 argparse.py:242(start_section)
        1    0.000    0.000    0.000    0.000 formatters.py:336(SpinningWheel)
        1    0.000    0.000    0.000    0.000 filesystem.py:1(<module>)
       20    0.000    0.000    0.000    0.000 basedatatypes.py:2684(_relayout_child)
       40    0.000    0.000    0.000    0.000 typing.py:1981(_caller)
        1    0.000    0.000    0.000    0.000 bdb.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mouse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stdlib.py:255(ReversedObject)
        1    0.000    0.000    0.000    0.000 __init__.py:97(SymbolFilter)
       22    0.000    0.000    0.000    0.000 __init__.py:315(_subx)
      128    0.000    0.000    0.000    0.000 attributes.py:552(__get__)
        1    0.000    0.000    0.000    0.000 margins.py:32(Margin)
       33    0.000    0.000    0.000    0.000 argparse.py:1603(_get_handler)
        1    0.000    0.000    0.000    0.000 _aspectmode.py:1(<module>)
      110    0.000    0.000    0.000    0.000 inspect.py:3002(<genexpr>)
        4    0.000    0.000    0.000    0.000 cache.py:114(decorator)
        1    0.000    0.000    0.000    0.000 defaults.py:134(<listcomp>)
       20    0.000    0.000    0.000    0.000 basedatatypes.py:5637(_vals_equal)
        1    0.000    0.000    0.000    0.000 settings.py:1(<module>)
       15    0.000    0.000    0.000    0.000 inspect.py:409(iscoroutinefunction)
       14    0.000    0.000    0.000    0.000 expatbuilder.py:166(reset)
        1    0.000    0.000    0.000    0.000 vi_state.py:19(InputMode)
      309    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       17    0.000    0.000    0.000    0.000 argparse.py:987(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:975(exec_module)
        5    0.000    0.000    0.000    0.000 inspect.py:3023(replace)
       12    0.000    0.000    0.000    0.000 filters.py:366(publish_method)
       30    0.000    0.000    0.000    0.000 dataclasses.py:368(field)
        1    0.000    0.000    0.000    0.000 typing.py:729(Literal)
        9    0.000    0.000    0.000    0.000 _function_base_impl.py:5625(append)
        3    0.000    0.000    0.000    0.000 _nticks.py:1(<module>)
        7    0.000    0.000    0.000    0.000 expatbuilder.py:137(__init__)
        1    0.000    0.000    0.000    0.000 patch_stdout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pydoc.py:1895(Helper)
        1    0.000    0.000    0.000    0.000 wildcard.py:1(<module>)
      240    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 autocall.py:1(<module>)
        4    0.000    0.000    0.000    0.000 base.py:47(__or__)
        2    0.000    0.000    0.000    0.000 _scene.py:1(<module>)
       23    0.000    0.000    0.000    0.000 main.py:64(getVolume)
        2    0.000    0.000    0.000    0.000 sentinel.py:1(<module>)
    66/62    0.000    0.000    0.000    0.000 traitlets.py:3505(subclass_init)
        3    0.000    0.000    0.000    0.000 _mapping.py:1(<module>)
      160    0.000    0.000    0.000    0.000 utils.py:409(__init__)
        2    0.000    0.000    0.000    0.000 _textfont.py:1(<module>)
        1    0.000    0.000    0.000    0.000 recursion.py:1(<module>)
       51    0.000    0.000    0.000    0.000 basevalidators.py:241(__init__)
        9    0.000    0.000    0.000    0.000 helpers.py:468(validate_line_column)
        1    0.000    0.000    0.000    0.000 file_io.py:6(FileIO)
        1    0.000    0.000    0.000    0.000 loader.py:85(LazyConfigValue)
        1    0.000    0.000    0.000    0.000 __init__.py:10(register)
        1    0.000    0.000    0.000    0.000 file_name.py:1(<module>)
        1    0.000    0.000    0.000    0.000 grammar.py:26(Grammar)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mouse_events.py:44(MouseButton)
       42    0.000    0.000    0.000    0.000 dataclasses.py:449(_field_init)
        2    0.000    0.000    0.000    0.000 _title.py:1(<module>)
       15    0.000    0.000    0.000    0.000 typing.py:1298(__mro_entries__)
       91    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       15    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       15    0.000    0.000    0.000    0.000 dataclasses.py:664(_is_type)
        1    0.000    0.000    0.000    0.000 displayhook.py:23(DisplayHook)
      143    0.000    0.000    0.000    0.000 base.py:17(__init__)
        1    0.000    0.000    0.000    0.000 containers.py:173(VerticalAlign)
        1    0.000    0.000    0.000    0.000 cache.py:66(_get_default_cache_path)
        7    0.000    0.000    0.000    0.000 expatbuilder.py:346(first_element_handler)
       13    0.000    0.000    0.000    0.000 traitlets.py:3202(__init__)
        9    0.000    0.000    0.000    0.000 basevalidators.py:2439(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:34(_build_functions)
        1    0.000    0.000    0.000    0.000 <frozen runpy>:1(<module>)
        1    0.000    0.000    0.000    0.000 guarded_eval.py:81(EvaluationPolicy)
        1    0.000    0.000    0.000    0.000 filters.py:272(_BuiltinMappedMethod)
        2    0.000    0.000    0.000    0.000 optional_imports.py:1(<module>)
        1    0.000    0.000    0.000    0.000 generator.py:56(DFAPlan)
      173    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
       14    0.000    0.000    0.000    0.000 importers.py:20(<dictcomp>)
       27    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 wildcard.py:22(create_typestr2type_dicts)
        1    0.000    0.000    0.000    0.000 filter.py:1(<module>)
      222    0.000    0.000    0.000    0.000 enum.py:1257(value)
        2    0.000    0.000    0.000    0.000 main.py:120(formatNumbers)
        1    0.000    0.000    0.000    0.000 alias.py:192(AliasManager)
        1    0.000    0.000    0.000    0.000 completer.py:969(Completer)
        1    0.000    0.000    0.000    0.000 mouse_events.py:28(MouseEventType)
        1    0.000    0.000    0.000    0.000 scrollable_pane.py:1(<module>)
       11    0.000    0.000    0.000    0.000 main.py:144(getTotalWeight)
       72    0.000    0.000    0.000    0.000 argparse.py:1399(_registry_get)
       36    0.000    0.000    0.000    0.000 basedatatypes.py:133(_remake_path_from_tuple)
        1    0.000    0.000    0.000    0.000 docstring_utils.py:1(<module>)
       80    0.000    0.000    0.000    0.000 argparse.py:236(_add_item)
        1    0.000    0.000    0.000    0.000 vi.py:60(TextObjectType)
        1    0.000    0.000    0.000    0.000 functions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 clipboard.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _xaxis.py:5(XAxis)
        3    0.000    0.000    0.000    0.000 _range.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pathlib.py:530(_make_child)
      105    0.000    0.000    0.000    0.000 inspect.py:378(isfunction)
        1    0.000    0.000    0.000    0.000 _yaxis.py:5(YAxis)
        2    0.000    0.000    0.000    0.000 _text.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selection.py:16(SelectionType)
        2    0.000    0.000    0.000    0.000 _template.py:1(<module>)
        1    0.000    0.000    0.000    0.000 prompt.py:201(CompleteStyle)
       13    0.000    0.000    0.000    0.000 expatbuilder.py:274(character_data_handler_cdata)
        6    0.000    0.000    0.000    0.000 <frozen zipimport>:162(find_spec)
       42    0.000    0.000    0.000    0.000 inspect.py:1439(repl)
       11    0.000    0.000    0.000    0.000 loader.py:329(__getitem__)
        1    0.000    0.000    0.000    0.000 word_completer.py:1(<module>)
      193    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        4    0.000    0.000    0.000    0.000 _scene.py:516(xaxis)
       87    0.000    0.000    0.000    0.000 argparse.py:588(_metavar_formatter)
        2    0.000    0.000    0.000    0.000 uuid.py:721(uuid4)
        1    0.000    0.000    0.000    0.000 containers.py:182(HorizontalAlign)
        1    0.000    0.000    0.000    0.000 animation.py:1(<module>)
       18    0.000    0.000    0.000    0.000 traitlets.py:4028(class_init)
        1    0.000    0.000    0.000    0.000 mouse_handlers.py:1(<module>)
       14    0.000    0.000    0.000    0.000 minicompat.py:101(defproperty)
      138    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       19    0.000    0.000    0.000    0.000 argparse.py:964(__init__)
      212    0.000    0.000    0.000    0.000 argparse.py:687(<genexpr>)
        2    0.000    0.000    0.000    0.000 _color.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _position_node_finder.py:109(PositionNodeFinder)
        4    0.000    0.000    0.000    0.000 normalizer.py:6(__new__)
       14    0.000    0.000    0.000    0.000 minidom.py:1433(createDocument)
       11    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       33    0.000    0.000    0.000    0.000 normalizer.py:98(decorator)
       86    0.000    0.000    0.000    0.000 token.py:24(__init__)
        1    0.000    0.000    0.000    0.000 filecmp.py:1(<module>)
      219    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 context.py:164(ValueContext)
      291    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 argparse.py:1720(ArgumentParser)
        1    0.000    0.000    0.000    0.000 _j.py:1(<module>)
       37    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      154    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
        4    0.000    0.000    0.000    0.000 utils.py:43(safe_property)
        1    0.000    0.000    0.000    0.000 _json.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:50(BlankLines)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:249(dirname)
       76    0.000    0.000    0.000    0.000 basedatatypes.py:116(<listcomp>)
       14    0.000    0.000    0.000    0.000 dataclasses.py:401(_tuple_str)
       10    0.000    0.000    0.000    0.000 inspect.py:1774(_check_class)
       23    0.000    0.000    0.000    0.000 enum.py:360(__init__)
        2    0.000    0.000    0.000    0.000 _zaxis.py:2223(__init__)
        1    0.000    0.000    0.000    0.000 coloransi.py:74(InputTermColors)
        1    0.000    0.000    0.000    0.000 renderer.py:321(CPR_Support)
        1    0.000    0.000    0.000    0.000 __init__.py:18(<dictcomp>)
        1    0.000    0.000    0.000    0.000 buffer.py:58(ValidationState)
      200    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       28    0.000    0.000    0.000    0.000 copy.py:264(<genexpr>)
        1    0.000    0.000    0.000    0.000 logger.py:1(<module>)
       76    0.000    0.000    0.000    0.000 basedatatypes.py:117(<listcomp>)
       36    0.000    0.000    0.000    0.000 magic_arguments.py:212(__call__)
       11    0.000    0.000    0.000    0.000 magic_arguments.py:134(add_usage)
        1    0.000    0.000    0.000    0.000 __init__.py:37(BaseBinding)
        1    0.000    0.000    0.000    0.000 configurable.py:53(Configurable)
        1    0.000    0.000    0.000    0.000 parser_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 python.py:416(Python2Lexer)
        1    0.000    0.000    0.000    0.000 backcall.py:1(<module>)
        4    0.000    0.000    0.000    0.000 utils.py:47(reraise_uncaught)
        1    0.000    0.000    0.000    0.000 cpr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tree.py:367(BaseNode)
       14    0.000    0.000    0.000    0.000 main.py:568(<lambda>)
        1    0.000    0.000    0.000    0.000 containers.py:1371(WindowAlign)
       62    0.000    0.000    0.000    0.000 basevalidators.py:646(validate_coerce)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:208(split)
      200    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       16    0.000    0.000    0.000    0.000 inspection.py:113(inspect)
        1    0.000    0.000    0.000    0.000 python.py:827(CythonLexer)
      248    0.000    0.000    0.000    0.000 enum.py:239(__init__)
      248    0.000    0.000    0.000    0.000 enum.py:1151(__init__)
        7    0.000    0.000    0.000    0.000 dataclasses.py:392(_fields_in_init_order)
        1    0.000    0.000    0.000    0.000 minicompat.py:1(<module>)
       19    0.000    0.000    0.000    0.000 decorator.py:170(<listcomp>)
        2    0.000    0.000    0.000    0.000 _x.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pathlib.py:757(joinpath)
        1    0.000    0.000    0.000    0.000 display_functions.py:1(<module>)
      156    0.000    0.000    0.000    0.000 enum.py:798(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:305(_compile_repl)
       91    0.000    0.000    0.000    0.000 magic.py:111(record_magic)
        2    0.000    0.000    0.000    0.000 _yaxis.py:2223(__init__)
      160    0.000    0.000    0.000    0.000 utils.py:327(<lambda>)
        1    0.000    0.000    0.000    0.000 plugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 async_helpers.py:1(<module>)
       88    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 style.py:180(Priority)
       14    0.000    0.000    0.000    0.000 main.py:25(__init__)
       54    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
      129    0.000    0.000    0.000    0.000 {method 'quantize' of 'decimal.Decimal' objects}
        1    0.000    0.000    0.000    0.000 selection.py:31(PasteMode)
        1    0.000    0.000    0.000    0.000 application.py:105(Application)
        7    0.000    0.000    0.000    0.000 dataclasses.py:573(<listcomp>)
        2    0.000    0.000    0.000    0.000 _xaxis.py:2223(__init__)
       35    0.000    0.000    0.000    0.000 textwrap.py:112(__init__)
       16    0.000    0.000    0.000    0.000 typing.py:2609(overload)
       69    0.000    0.000    0.000    0.000 argparse.py:206(__init__)
        1    0.000    0.000    0.000    0.000 hooks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 syspathcontext.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fractions.py:38(Fraction)
        1    0.000    0.000    0.000    0.000 in_memory.py:1(<module>)
       21    0.000    0.000    0.000    0.000 traitlets.py:1181(default)
       33    0.000    0.000    0.000    0.000 normalizer.py:78(register_rule)
       81    0.000    0.000    0.000    0.000 main.py:251(<listcomp>)
      116    0.000    0.000    0.000    0.000 __init__.py:424(<genexpr>)
        1    0.000    0.000    0.000    0.000 packaging.py:58(PackagingMagics)
        2    0.000    0.000    0.000    0.000 _scene.py:1640(__init__)
        2    0.000    0.000    0.000    0.000 filters.py:42(has_focus)
       21    0.000    0.000    0.000    0.000 copy.py:66(copy)
        8    0.000    0.000    0.000    0.000 traitlets.py:2075(__init__)
        2    0.000    0.000    0.000    0.000 _showlegend.py:1(<module>)
       14    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       15    0.000    0.000    0.000    0.000 inspect.py:735(unwrap)
      281    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 value.py:46(CompiledValue)
       14    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        5    0.000    0.000    0.000    0.000 __init__.py:1378(_fixupParents)
        1    0.000    0.000    0.000    0.000 mouse_events.py:58(MouseModifier)
        4    0.000    0.000    0.000    0.000 _scene.py:1230(zaxis)
        4    0.000    0.000    0.000    0.000 _scene.py:873(yaxis)
       18    0.000    0.000    0.000    0.000 minidom.py:903(_get_attributes)
      217    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       81    0.000    0.000    0.000    0.000 main.py:295(<listcomp>)
       81    0.000    0.000    0.000    0.000 main.py:299(<listcomp>)
       15    0.000    0.000    0.000    0.000 <frozen io>:61(__getattr__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       11    0.000    0.000    0.000    0.000 magic_arguments.py:199(real_name)
        2    0.000    0.000    0.000    0.000 _data.py:5(__init__)
        2    0.000    0.000    0.000    0.000 packer.py:107(<listcomp>)
        1    0.000    0.000    0.000    0.000 traitlets.py:1314(HasTraits)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
